X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1459975.00008747,533155.000155732,839,839,20170930-1032-03,60,Female,Black,Cleared by Arrest,,Handgun,400 ORANGE ST,1459975,533155,35.201431,-80.807851,Providence,370,2017/10/01 00:00:00+00,Domestic,1,4,,2017,09,2017/09/30 00:00:00+00
1443817.99992122,563295.999912977,840,840,20170929-1030-04,19,Female,Black,Cleared by Arrest by Another Agency,,Unknown,1700 GRIERS GROVE RD,1443818,563296,35.283413,-80.863822,Metro,123,2017/11/08 00:00:00+00,Other/Unknown,2,2,,2017,09,2017/09/29 00:00:00+00
1446888.0000148,556188.000021398,841,841,20170928-0255-03,31,Male,Black,Cleared by Arrest,,Handgun,2200 CATHERINE SIMMONS AV,1446888,556188,35.264044,-80.853092,Metro,374,2017/10/06 00:00:00+00,Argument,2,3,BEATTIES FORD/ROZZELLES FERRY,2017,09,2017/09/28 00:00:00+00
1479722.99996147,519302.999972641,842,842,20170927-2245-02,21,Male,Black,Cleared by Arrest,,Handgun,7200 E INDEPENDENCE BV,1479723,519303,35.164346,-80.740941,Independence,246,2017/09/27 00:00:00+00,Argument,5,4,,2017,09,2017/09/27 00:00:00+00
1457140.99984998,553000.000163808,843,843,20170920-2131-01,29,Male,Black,Cleared by Arrest,,Handgun,2900 DOGWOOD AV,1457141,553000,35.255807,-80.818553,Metro,369,2017/10/17 00:00:00+00,Argument,1,3,GRAHAM STREET/NORTH TRYON,2017,09,2017/09/20 00:00:00+00
1468538.0000218,537590.000143975,844,844,20170918-1532-00,21,Male,White,Open,,Firearm,1500 MEDFORD DR,1468538,537590,35.21404,-80.779457,Eastway,164,,Other/Unknown,5,4,CENTRAL/ALBEMARLE,2017,09,2017/09/18 00:00:00+00
1444361.00014755,553437.999943972,845,845,20170912-0300-00,26,Male,Black,Cleared by Arrest,,Firearm,1400 ROSETTA ST,1444361,553438,35.25636,-80.861383,Metro,85,2017/10/02 00:00:00+00,Other/Unknown,2,2,BEATTIES FORD/ROZZELLES FERRY,2017,09,2017/09/12 00:00:00+00
1452788.00002581,544747.999935567,846,846,20170902-1311-00,38,Male,Black,Open,,Handgun,900 N COLLEGE ST,1452788,544748,35.232917,-80.832622,Central,476,,Other/Unknown,1,4,,2017,09,2017/09/02 00:00:00+00
1422283.00001231,510092.000021979,847,847,20170901-1137-03,30,Female,Black,Cleared by Arrest,Intimate Partner,Knife,9300 KINGS PARADE BV,1422283,510092,35.136121,-80.9325,Steele Creek,92,2017/09/04 00:00:00+00,Domestic,3,2,,2017,09,2017/09/01 00:00:00+00
1475948.99996355,545151.000113815,848,848,20170830-1933-00,31,Male,Hispanic,Exceptionally Cleared,,Handgun,4000 UPPERGATE LN,1475949,545151,35.235174,-80.755096,North Tryon,168,2018/10/16 00:00:00+00,Gang,1,4,,2017,08,2017/08/30 00:00:00+00
1432234.00012338,560379.999839485,849,849,20170824-1706-00,22,Male,Black,Cleared by Arrest,,Handgun,5400 WINDY VALLEY DR,1432234,560380,35.274799,-80.902444,Freedom,190,2017/10/30 00:00:00+00,Robbery,2,2,,2017,08,2017/08/24 00:00:00+00
1467548.0000333,504950.000135392,850,850,20170821-0315-00,25,Male,White,Open,,Handgun,6500 OUTER BRIDGE LN,1467548,504950,35.124321,-80.780811,Independence,222,,Robbery,7,5,,2017,08,2017/08/21 00:00:00+00
1481524.99996638,555611.999861062,851,851,20170811-0156-00,,,,Open,,,2300 GINGER LN,1481525,555612,35.264183,-80.737038,North Tryon,17,,,5,3,,2017,08,2017/08/11 00:00:00+00
1411003.99993256,556830.000049725,852,852,20170810-1919-00,24,Male,Black,Cleared by Arrest,,Shotgun,2000 PLEASANT DALE DR,1411004,556830,35.263908,-80.973326,Freedom,73,2017/08/30 00:00:00+00,Argument,3,2,,2017,08,2017/08/10 00:00:00+00
